Title,Category,Year,Subtitle,Questions,Answer
m2022_12,マンション管理士,2022,12,Ａは、Ｂとの間で、甲マンションの１室である 202 号室をＢに売却する旨の売買契約を締結した。この場合に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。 １ Ａは、本心では 202 号室を売却するつもりはなく売買契約を締結した場合において、Ｂがそのことを知り、又は知ることができたときは、売買契約は無効となる。 ２ Ａは、本心では 202 号室を売却するつもりはなかったが、借入金の返済が滞り差押えを受ける可能性があったため、Ｂと相談のうえ、Ｂに売却したことにして売買契約を締結したときは、売買契約は無効となる。 ３ Ｂは、甲マンションの近くに駅が新設されると考えて 202 号室を購入したが、そのような事実がなかったときは、Ｂが駅の新設を理由に購入したことが Ａに表示されていなくても、Ｂは売買契約を取り消すことができる。 ４ Ｂは、知人のＣによる詐欺により、202 号室を購入することを決め、Ａと売買契約を締結した場合において、ＢがＣによる詐欺を理由に売買契約を締結したことをＡが知らず、かつ、知ることもできなかったときは、Ｂは売買契約を取り消すことができない。,3
m2022_13,マンション管理士,2022,13,Ａは、Ｂとの間で、甲マンションの１室である 501 号室をＢに売却する旨の売買契約を締結した。この場合に関する次の記述のうち、民法の規定及び判例によれば、誤っているものはどれか。 １ Ａが 501 号室を退去した後に、居住するための権利を有しないＣが同室に居住している場合、ＡからＢへの 501 号室の区分所有権の移転登記が経由されていないときは、Ｂは、Ｃに対して、同室の明渡しを請求することができない。 ２ ＡからＢへの 501 号室の区分所有権の移転登記が経由されない間に、ＡがＣに同室を売却する旨の売買契約を締結し、Ｃに同室が引き渡された場合において、ＡからＢ及びＣのいずれに対しても同室の区分所有権の移転登記を経由していないときは、Ｂは、Ｃに対して同室を明け渡すように請求することができない。 ３ ＡからＢに 501 号室の区分所有権の移転登記を経由した後に、ＡがＢの詐欺を理由にＡＢ間の売買契約を取り消したが、その後にＢがＣに同室を売却する旨の売買契約を締結して、区分所有権の移転登記をＢからＣに経由し、Ｃが居住しているときは、Ａは、Ｃに対して、同室の明渡しを求めることができない。 ４ ＡからＢに 501 号室の区分所有権の移転登記が経由された後に、ＡがＢの代金未払いを理由にＡＢ間の契約を解除したが、その解除の前にＢがＣに同室を売却する旨の売買契約を締結してＣが居住している場合、区分所有権の移転登記がＢからＣに経由されていないときは、Ａは、Ｃに対して、同室の明渡しを求めることができる。,1
m2022_14,マンション管理士,2022,14,Ａが所有する甲マンションの 201 号室を賃料月額 20 万円としてＢに賃貸し、令和４年８月分の賃料をＣがＡに対して弁済しようとする場合に関する次の記述のうち、民法の規定によれば、誤っているものはどれか。 １ ＡＢ間の賃貸借契約において、Ｂ以外の第三者の賃料支払を禁止していたときは、Ｃが弁済をするについて正当な利益を有していても、ＡはＣの弁済を拒絶することができる。 ２ ＡＢ間の賃貸借契約において、Ｂ以外の第三者の賃料支払を禁止又は制限していなかったときは、Ｃが弁済をするについて正当な利益を有していなくても、ＢがＣに弁済の委託をし、これをあらかじめＡに伝えていれば、ＡはＣの弁済を拒絶することができない。 ３ ＡＢ間の賃貸借契約において、Ｂ以外の第三者の賃料支払を禁止又は制限していなかった場合、Ｃが弁済をするについて正当な利益を有していても、Ｃの弁済がＢの意思に反していることをＡが知っていたときは、ＡはＣの弁済を拒絶することができる。 ４ ＡＢ間の賃貸借契約において、Ｂ以外の第三者の賃料支払を禁止又は制限していなかった場合、Ｃが弁済をするについて正当な利益を有していなくても、Ｃの弁済がＢの意思に反していることをＡが知らなかったときは、ＡはＣの弁済を受領することができる。,3
m2022_15,マンション管理士,2022,15,甲マンション 302 号室を所有しているＡが各種の契約をする場合に関する次の記述のうち、民法及び借地借家法（平成３年法律第 90 号）の規定によれば、誤っているものはどれか。 １ Ａが、Ｂとの間で、302 号室をＢに贈与する旨の贈与契約を成立させるためには、書面によって契約をする必要がある。 ２ Ａが、Ｃとの間で、302 号室を無償でＣに貸す旨の使用貸借契約を成立させるためには、302 号室の引渡しをする必要はない。 ３ Ａが、Ｄとの間で、302 号室を賃料月額 10 万円でＤに賃貸する旨の賃貸借契約を成立させるためには、302 号室の引渡しをする必要はない。 ４ Ａが、Ｅとの間で、302 号室を賃料月額 10 万円でＥに賃貸する旨の定期建物賃貸借の契約を成立させるためには、書面によって契約をする必要がある。 Ａが所有する甲マンションの 102 号室を賃貸期間２年と定めて居住用としてＢに賃貸した場合に関する次の記述のうち、民法及び借地借家法の規定によれば、誤っているものはどれか。 １ ＡＢ間の契約が、定期建物賃貸借でない場合、Ａが、Ｂに対し、期間満了の１年前から６ヵ月前までの間に更新をしない旨の通知又は条件を変更しなければ更新をしない旨の通知をしなかったときは、期間の定めのない賃貸借契約として更新される。 ２ ＡＢ間の契約が、定期建物賃貸借である場合、Ａが、Ｂに対し、期間満了の１年前から６ヵ月前までの間に期間満了により契約が終了する旨の通知をしなかったときでも、Ｂは期間満了による契約の終了をＡに主張できる。 ３ ＡＢ間の契約が、定期建物賃貸借でない場合、特約がない限り、Ｂは、Ａに対し、契約期間内に解約の申入れをすることはできない。 ４ ＡＢ間の契約が、定期建物賃貸借である場合、特約がなくとも、Ａがその親族の介護をするため甲マンションの 102 号室を使用する必要が生じて、Ｂに対し、解約の申入れをしたときは、当該定期賃貸借契約は、解約の申入れの日から１ヵ月を経過することによって終了する。,1
m2022_16,マンション管理士,2022,16,Ａが所有する甲マンションの 102 号室を賃貸期間２年と定めて居住用としてＢに賃貸した場合に関する次の記述のうち、民法及び借地借家法の規定によれば、誤っているものはどれか。 １ ＡＢ間の契約が、定期建物賃貸借でない場合、Ａが、Ｂに対し、期間満了の１年前から６ヵ月前までの間に更新をしない旨の通知又は条件を変更しなければ更新をしない旨の通知をしなかったときは、期間の定めのない賃貸借契約として更新される。 ２ ＡＢ間の契約が、定期建物賃貸借である場合、Ａが、Ｂに対し、期間満了の１年前から６ヵ月前までの間に期間満了により契約が終了する旨の通知をしなかったときでも、Ｂは期間満了による契約の終了をＡに主張できる。 ３ ＡＢ間の契約が、定期建物賃貸借でない場合、特約がない限り、Ｂは、Ａに対し、契約期間内に解約の申入れをすることはできない。 ４ ＡＢ間の契約が、定期建物賃貸借である場合、特約がなくとも、Ａがその親族の介護をするため甲マンションの 102 号室を使用する必要が生じて、Ｂに対し、解約の申入れをしたときは、当該定期賃貸借契約は、解約の申入れの日から１ヵ月を経過することによって終了する。,4
m2022_17,マンション管理士,2022,17,"甲マンション 303 号室の所有者Ａが死亡し、Ａの子であるＢ及びＣがＡを共同で相続した。Ａの遺産は、303 号室と現金 1,000 万円である。この場合に関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。ただし、Ａの遺言はないものとする。 １ ＢＣ間の遺産分割の協議により、303 号室と 1,000 万円をＢが取得し、Ｃは何も取得しない旨の遺産分割をした場合、この協議は無効である。 ２ ＢＣ間の遺産分割の協議により、303 号室を売却して、その売却代金と 1,000 万円をＢＣで平等に分割する旨の遺産分割をすることができる。 ３ ＢＣ間の遺産分割の協議により、303 号室をＢが、1,000 万円をＣがそれぞれ取得する旨の遺産分割が行われた。その後、ＢＣは、その協議の全部を合意によって解除し、改めて、異なる内容の遺産分割の協議をすることはできない。 ４ ＢＣ間の遺産分割の協議により、303 号室をＢが、1,000 万円をＣがそれぞれ取得する旨の遺産分割が行われた。その後、Ｄからの認知の訴えが認められ、ＤもＡの共同相続人となった場合、ＢＣ間の遺産分割の協議はその効力を失い、Ｄを含めて再度の遺産分割の協議をしなければならない。",2
m2022_18,マンション管理士,2022,18,区分建物の敷地権の登記に関する次の記述のうち、区分所有法及び不動産登記法の規定によれば、正しいものはどれか。 １ 地上権の敷地権が登記された土地については、当該土地の所有権を対象とする抵当権を設定してその登記を申請することはできない。 ２ 敷地権の登記された土地の一部が分筆により区分建物が所在しない土地となった場合、当該土地については、敷地権の一部抹消のため区分建物の表題部の変更登記を申請しなければならない。 ３ 敷地権付き区分建物について相続を原因とする所有権の移転の登記をする場合、同時に、敷地権の移転の登記をしなければならない。 ４ 規約により建物の敷地とされた所有権の敷地権が登記された土地につき、当該規約が廃止されて、敷地権の一部抹消のため区分建物の表題部の変更登記が申請された場合、登記官は、当該土地の登記記録に敷地権であった権利、その権利の登記名義人の氏名又は名称及び住所並びに登記名義人が二人以上であるときは当該権利の登記名義人ごとの持分を記録しなければならない。,4
m2022_19,マンション管理士,2022,19,敷地分割組合（この問いにおいて「組合」という。）が実施する敷地分割事業に関する次の記述のうち、マンションの建替え等の円滑化に関する法律（平成14 年法律第 78 号）の規定によれば、誤っているものはどれか。 １ 特定要除却認定を受けた場合においては、団地内建物を構成する特定要除却認定を受けたマンションの敷地（当該特定要除却認定マンションの敷地利用権が借地権であるときは、その借地権）の共有者である当該団地内建物の団地建物所有者（この問いにおいて「特定団地建物所有者」という。）及び議決権の各５分の４以上の多数で、敷地分割決議をすることができる。 ２ 敷地権利変換計画においては、除却マンション敷地となるべき土地に現に存する団地内建物の特定団地建物所有者に対しては、除却敷地持分が与えられるように定めなければならない。 ３ 敷地権利変換手続開始の登記があった後においては、組合員は、当該登記に係る団地内建物の所有権及び分割実施敷地持分を処分するときは、都道府県知事の承認を得なければならない。 ４ 総会の決議により組合を解散する場合は、組合員の議決権及び分割実施敷地持分の割合の各４分の３以上で決する。,3
m2022_20,マンション管理士,2022,20,都市計画法（昭和 43 年法律第 100 号）に関する次の記述のうち、正しいものはどれか。 １ 都市計画区域外においては、都市計画に、都市施設を定めることができる。 ２ 都市計画区域においては、都市計画に、地区計画を定めなければならない。 ３ 工業地域においては、都市計画に、建築物の建蔽率を定めるものとするとされているが、準工業地域においては、建築物の建蔽率を定めるものとするとはされていない。 ４ 現に土地の利用状況が著しく変化しつつあり、又は著しく変化することが確実であると見込まれる土地の区域における地区計画については、都市計画に、再開発等促進区を定めなければならない。,1
m2022_21,マンション管理士,2022,21,建築基準法（昭和 25 年法律第 201 号）に関する次の記述のうち、誤っているものはどれか。 １ 床面積の合計が 200 m2 を超える共同住宅（国、都道府県又は建築主事を置く市町村が所有し、又は管理するものを除く。）の場合、その所有者又は管理者は、その建築物の敷地、構造及び建築設備を常時適法な状態に維持するため、必要に応じ、その維持保全に関する準則又は計画を作成し、その他適切な措置を講じなければならない。 ２ 防火地域又は準防火地域において共同住宅を改築しようとする場合、その改築に係る部分の床面積の合計が 10 m2 以内であれば、建築確認を受ける必要はない。 ３ 防火地域内にある共同住宅の屋上に高さ２m の広告塔を設ける場合、その主要な部分を不燃材料で造り、又は覆わなければならない。 ４ 共同住宅の居室の天井の高さは、居室の床面から測り、一室で天井の高さが異なる部分がある場合、その平均の高さが 2.1 m 以上でなければならない。,2
m2022_22,マンション管理士,2022,22,貯水槽水道に関する次の記述のうち、水道法（昭和 32 年法律第 177 号）の規定によれば、誤っているものはどれか。 １ 水道事業者は、その供給規程において、貯水槽水道の設置者の責任に関する事項を適正かつ明確に定めなければならない。 ２ 水槽の有効容量の合計が 20 m3 の貯水槽水道の設置者は、水槽の掃除を毎年 １回以上定期に行わなければならない。 ３ 貯水槽水道とは、水道事業の用に供する水道及び専用水道以外の水道であって、水道事業の用に供する水道から供給を受ける水のみを水源とするものをいう。 ４ 簡易専用水道の設置者は、給水栓における水質の検査として、給水栓における臭気、味、色及び大腸菌に関する検査を行わなければならない。,4
m2022_23,マンション管理士,2022,23,消防用設備等の設置及び点検に関する次の記述のうち、消防法（昭和 23 年法律第 186 号）の規定によれば、誤っているものはどれか。ただし、特定共同住宅等はないものとする。 １ 避難口誘導灯及び通路誘導灯は、地階及び無窓階のない、９階建ての共同住宅には設置する必要がない。 ２ 非常コンセント設備は、地階のない、10 階建ての共同住宅には設置する必要がない。 ３ 延べ面積が 500 m2 の共同住宅の消防用設備等に係る点検は、消防設備士免状の交付を受けている者又は総務省令で定める資格を有する者に行わせなければならない。 ４ 共同住宅に設置された消防用設備等の点検結果は、３年に１回消防長（消防本部を置かない市町村においては、市町村長。）又は消防署長に報告しなければならない。,3
m2022_24,マンション管理士,2022,24,警備業に関する次の記述のうち、警備業法（昭和 47 年法律第 117 号）の規定によれば、誤っているものはどれか。 １ 警備業を営もうとする者は、都道府県公安委員会から認定を受けなければならず、認定を受けないで警備業を営んだ者は、刑事処分の対象となる。 ２ 警備業法における警備業務とは、他人の需要に応じて盗難等の事故の発生を警戒し、防止する業務をいうが、例えば、デパートにおいて、その従業員が商品の万引き防止のために店内の警戒を行う業務も警備業務に該当する。 ３ 警備業法は、警備員又は警備員になろうとする者について、その知識及び能力に関する検定を行うことを定めているが、検定に合格したとしても、18 歳未満の者は警備員となってはならない。 ４ 警備業者は、警備業務の依頼者と警備業務を行う契約を締結しようとするときは、当該契約をするまでに、その概要について記載した書面を交付しなければならず、契約を締結したときは、遅滞なく、当該契約の内容を明らかにする書面を依頼者に交付（電磁的方法による提供を含む。）しなければならない。,2
m2022_25,マンション管理士,2022,25,配管設備の工事等に関する次のマンション管理士の意見のうち、標準管理規約によれば、適切でないものはどれか。 １ 共用部分配管設備の清掃等に要する費用は、共用設備の保守維持費として管理費を充当することが可能です。 ２ 共用部分の配管の取替えはそれだけでかなり多額の費用がかかるため、特別決議により実施する必要があります。 ３ 共用部分の配管の取替えと専有部分の配管の取替えを同時に行うことにより、専有部分の配管の取替えを単独で行うよりも費用が軽減される場合には、これらについて一体的に工事を行うことも考えられます。 ４ あらかじめ長期修繕計画において専有部分の配管の取替えについて記載し、その工事費用を修繕積立金から拠出することについて規約に規定しておくことにより、修繕積立金を取り崩すことができます。,2
m2022_26,マンション管理士,2022,26,盗難被害が発生したマンションの管理組合における今後の防犯対策に関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ マンションやその周辺における防災・防犯活動のうち、その経費に見合ったマンションの資産価値の向上がもたらされるもので、建物並びにその敷地及び附属施設の管理の範囲内で行われる活動については、管理組合で実施することができる。 ２ １階部分の住戸の区分所有者から、住戸の窓や扉等の開口部につき防犯機能を強化するための改良工事を、当該区分所有者の責任と負担において実施する旨の申出があった場合において、管理組合が当該工事を速やかに実施できないときは、理事長は、理事会の決議を経て当該工事の実施の承認をすることができる。 ３ 共用部分に防犯カメラを設置する工事や敷地内に防犯灯を設置する工事は、総会の普通決議により実施可能である。 ４ 現在空室となっている住戸に不審者が出入りをしているとの通報があった場合には、理事長は、当該住戸の区分所有者に対し請求をすることなく、直ちに当該住戸に立ち入り、室内を確認することができる。,4
m2022_27,マンション管理士,2022,27,修繕積立金を取り崩して充当することができる経費に関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ 建物の建替え及びマンション敷地売却に係る合意形成に必要となる事項の調査費用 ２ 敷地及び共用部分等の管理に関し、区分所有者全体の利益のために特別に必要となる管理費用 ３ WEB 会議システムで理事会が開催できるようにするための理事全員分の器材一括購入費用 ４ 不測の事故により必要となる修繕費用,3
m2022_28,マンション管理士,2022,28,WEB 会議システム等を用いた総会の招集等に関する次のマンション管理士の意見のうち、標準管理規約によれば、適切なものはいくつあるか。 ア 総会を招集するには、少なくとも総会開催の日の２週間前までに日時、WEB 会議システム等にアクセスする方法及び会議の目的を示して組合員に通知を発しなければなりません。 イ 管理者である理事長が総会で管理組合の業務執行に関する報告をするときは、各組合員からの質疑に対して適切に応答する必要があるので、理事長自身は WEB 会議システム等により報告することはできません。 ウ 総会の目的が建替え決議や敷地売却決議であるときは、それらの説明会はWEB 会議システム等で行うことができますが、決議そのものは WEB 会議システム等で行うことはできません。 エ 総会において議決権を行使することができない傍聴人として WEB 会議システム等を用いて議事を傍聴する組合員については、定足数の算出においては出席組合員には含まれないと考えられます。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_29,マンション管理士,2022,29,甲マンション 103 号室については、当該住戸に居住しているＡと、外部に居住しているＢの共有となっている。また、総会に先立ち、あらかじめＢを議決権行使者とする理事長への届出がなされている。この場合において、総会運営における 103 号室の取扱いに関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ Ｂが通知先としてその住所を管理組合に届け出ていない場合には、総会の招集の通知は 103 号室あてに発することで、招集手続として有効である。 ２ Ａ及びＢがともに総会を欠席したが、Ａが議決権行使書を提出していた場合には、定足数の確認においては、103 号室の組合員を「出席」と扱ってよい。 ３ Ａが総会に出席し、Ｂが議決権行使書を提出していた場合には、Ａの総会の場での賛否の意思表示にかかわらず、Ｂが提出した議決権行使書の内容を、 103 号室の賛否とする。 ４ 甲マンションの他の組合員Ｃを代理人として議決権を行使しようとする場合には、Ｂを委任者、Ｃを受任者とする委任状を作成し、理事長に提出する必要がある。,2
m2022_30,マンション管理士,2022,30,IT を活用した管理組合の運営や手続きに関する次の記述のうち、標準管理規約によれば、適切なものはどれか。 １ 組合員が総会において議決権を行使する場合、書面による議決権の行使に代えて、電磁的方法によって行使することは認められていない。 ２ 電磁的記録で作成された議事録の閲覧請求があったときは、当該電磁的記録に記録された情報の内容を紙面又は出力装置の映像面に表示する方法により表示したものを請求者の自宅において閲覧させることとなる。 ３ あらかじめ管理規約で WEB 会議システム等を用いて総会が開催できる旨定めている場合に限り、当該方法により総会を開催することができる。 ４ 住戸が売買されて組合員の変動が生じた場合の組合員の資格の得喪の届出は、電磁的方法により行うことができる。,4
m2022_31,マンション管理士,2022,31,理事、理事会等に関する次の記述のうち、標準管理規約によれば、適切なものはどれか。 １ 理事会で、理事長、副理事長及び会計担当理事の役職解任の決議をする場合、WEB 会議システム等によって行うことはできない。 ２ 総会提出議案は、理事の過半数の承諾があれば、書面又は電磁的方法により理事会で決議することができる。 ３ 理事が止むを得ず理事会を欠席する場合には、規約の明文の規定がなくても、あらかじめ通知された事項について書面で賛否を記載し意思表示することが認められる。 ４ 理事長は、未納の管理費等及び使用料の請求に関し、管理組合を代表して訴訟を追行する場合には、理事会の決議を経ることが必要である。,4
m2022_32,マンション管理士,2022,32,団地管理組合の運営に関する次の記述のうち、「マンション標準管理規約（団地型）及びマンション標準管理規約（団地型）コメント」（最終改正 令和３年６月 22 日 国住マ第 33 号）によれば、適切なものはどれか。 １ 団地内のＡ棟の棟総会について、Ａ棟から選出されている理事が招集できるようにするための規約の変更は、Ａ棟の棟総会の決議のみで行うことができる。 ２ 団地総会が成立するためには、それぞれの棟の議決権総数の過半数を有する区分所有者が出席する必要がある。 ３ 敷地内に設置している駐車場の使用料は、駐車場の管理に要する費用に充てるほか、団地修繕積立金として積み立てる必要がある。 ４ 棟総会の議事録は、各棟において保管者を決めて保管し、他の棟の区分所有者を含めた団地管理組合の組合員又はその利害関係人からの請求があれば、閲覧させなければならない。,1
m2022_33,マンション管理士,2022,33,総会決議と管理費等に関する次の記述のうち、「マンション標準管理規約（団地型）及びマンション標準管理規約（団地型）コメント」及び「マンション標準管理規約（複合用途型）及びマンション標準管理規約（複合用途型）コメント」（最終改正 令和３年６月 22 日 国住マ第 33 号）によれば、適切でないものはどれか。 １ １、２階が店舗、３階以上が住宅の複合用途型マンションの住宅だけに設置されているバルコニーの床の防水工事を計画修繕として行う場合には、総会で決議し、その費用は全体修繕積立金を充当する。 ２ 団地型マンションにおいて、一つの棟の耐震性能が低いため耐震改修工事をすることは、当該棟の共用部分の変更ではあるが、団地総会で決議し、その費用は当該棟の修繕積立金を充当する。 ３ １、２階が店舗、３階以上が住宅の複合用途型マンションで、店舗の外壁はタイル張り、住宅の外壁はモルタル仕様である場合において、計画修繕として外壁の改修工事を行うときは、店舗部会及び住宅部会でそれぞれの決議をした上で総会で決議し、その費用は店舗一部修繕積立金及び住宅一部修繕積立金を充当する。 ４ 団地型マンションにおいて、マンション管理適正化法第５条の３第１項に基づく管理計画の認定の申請を行う場合には、各棟ごとの決議を経る必要はなく、団地総会で決議し、その費用は管理費を充当する。,3
